feature_id,feature_name,portal,feature_priority,feature_surface,api_id,api_name,method,endpoint,api_priority,api_status,auth,domain
F-CUS-HOME,Home / Atelier,customer,P0,GET /,API-SRCH-04,Home,GET,/home,P0,exists,none,Search / home / explore
F-CUS-HOME,Home / Atelier,customer,P0,GET /,API-PROD-01,List products,GET,/products,P0,exists,none,Products (public)
F-CUS-HOME,Home / Atelier,customer,P0,GET /,API-COL-01,List collections,GET,/collections,P0,exists,none,Collections
F-CUS-HOME,Home / Atelier,customer,P0,GET /,API-OFF-01,List public offers,GET,/offers,P1,exists,none,Offers
F-CUS-HOME,Home / Atelier,customer,P0,GET /,API-MED-02,Resolve references,POST,/media/references/resolve,P0,exists,none,Product media
F-CUS-HOME,Home / Atelier,customer,P0,GET /,API-MMED-01,List marketing media,GET,/admin/marketing-media,P1,stub,admin,Marketing media (gap)
F-CUS-NAV,Taxonomy mega-menu,customer,P0,Header,API-CAT-01,List categories,GET,/categories,P0,exists,none,Categories / taxonomy
F-CUS-NAV,Taxonomy mega-menu,customer,P0,Header,API-CAT-03,List subcategories,GET,/categories/{categoryId}/subcategories,P0,exists,none,Categories / taxonomy
F-CUS-SHOP,Shop listing,customer,P0,/shop,API-PROD-01,List products,GET,/products,P0,exists,none,Products (public)
F-CUS-SHOP,Shop listing,customer,P0,/shop,API-SRCH-01,Search,GET,/search,P0,exists,none,Search / home / explore
F-CUS-EXPLORE,Explore,customer,P1,/explore,API-SRCH-02,Explore,GET,/explore,P1,exists,none,Search / home / explore
F-CUS-EXPLORE,Explore,customer,P1,/explore,API-SRCH-03,Explore offers,GET,/explore/offers,P1,exists,none,Search / home / explore
F-CUS-SEARCH,Search,customer,P0,/search,API-SRCH-01,Search,GET,/search,P0,exists,none,Search / home / explore
F-CUS-CATEGORY,Category listing,customer,P0,/category/:slug,API-CAT-02,Get category,GET,/categories/{idOrSlug},P0,exists,none,Categories / taxonomy
F-CUS-CATEGORY,Category listing,customer,P0,/category/:slug,API-CAT-03,List subcategories,GET,/categories/{categoryId}/subcategories,P0,exists,none,Categories / taxonomy
F-CUS-CATEGORY,Category listing,customer,P0,/category/:slug,API-PROD-01,List products,GET,/products,P0,exists,none,Products (public)
F-CUS-COLLECTION,Collection listing,customer,P0,/collection/:slug,API-COL-02,Get collection,GET,/collections/{idOrSlug},P0,exists,none,Collections
F-CUS-COLLECTION,Collection listing,customer,P0,/collection/:slug,API-PROD-04,Collection products,GET,/collections/{collectionId}/products,P0,exists,none,Products (public)
F-CUS-KIDS,Kids department browse,customer,P0,taxonomy kids,API-PROD-01,List products,GET,/products,P0,exists,none,Products (public)
F-CUS-KIDS,Kids department browse,customer,P0,taxonomy kids,API-CAT-01,List categories,GET,/categories,P0,exists,none,Categories / taxonomy
F-CUS-KIDS,Kids department browse,customer,P0,taxonomy kids,API-CAT-03,List subcategories,GET,/categories/{categoryId}/subcategories,P0,exists,none,Categories / taxonomy
F-CUS-PDP,Product detail + gallery,customer,P0,/product/:productId,API-PROD-02,Get product,GET,/products/{idOrSlug},P0,exists,none,Products (public)
F-CUS-PDP,Product detail + gallery,customer,P0,/product/:productId,API-MED-04,Product media set,GET,/media/products/{id}/media-set,P0,exists,none,Product media
F-CUS-PDP,Product detail + gallery,customer,P0,/product/:productId,API-MED-02,Resolve references,POST,/media/references/resolve,P0,exists,none,Product media
F-CUS-PDP,Product detail + gallery,customer,P0,/product/:productId,API-PROD-03,Recommendations,GET,/products/{id}/recommendations,P1,exists,none,Products (public)
F-CUS-PDP,Product detail + gallery,customer,P0,/product/:productId,API-CART-02,Add cart item,POST,/cart/items,P0,exists,customer,Cart
F-CUS-PDP,Product detail + gallery,customer,P0,/product/:productId,API-WISH-02,Add wishlist,POST,/wishlist/{productId},P0,exists,customer,Wishlist
F-CUS-PDP,Product detail + gallery,customer,P0,/product/:productId,API-PROD-06,Recently viewed add,POST,/products/recently-viewed,P2,exists,customer,Products (public)
F-CUS-RECS,PDP recommendations,customer,P1,PDP rail,API-PROD-03,Recommendations,GET,/products/{id}/recommendations,P1,exists,none,Products (public)
F-CUS-RECENT,Recently viewed,customer,P2,account/home rails,API-PROD-05,Recently viewed get,GET,/products/recently-viewed,P2,exists,customer (or none if guest stored server-side — follow existing auth),Products (public)
F-CUS-RECENT,Recently viewed,customer,P2,account/home rails,API-PROD-06,Recently viewed add,POST,/products/recently-viewed,P2,exists,customer,Products (public)
F-CUS-CART,Cart,customer,P0,/cart,API-CART-01,Get cart,GET,/cart,P0,exists,customer,Cart
F-CUS-CART,Cart,customer,P0,/cart,API-CART-02,Add cart item,POST,/cart/items,P0,exists,customer,Cart
F-CUS-CART,Cart,customer,P0,/cart,API-CART-03,Update cart item,PATCH,/cart/items/{lineId},P0,exists,customer,Cart
F-CUS-CART,Cart,customer,P0,/cart,API-CART-04,Remove cart item,DELETE,/cart/items/{lineId},P0,exists,customer,Cart
F-CUS-CART,Cart,customer,P0,/cart,API-CART-05,Clear cart,DELETE,/cart,P0,exists,customer,Cart
F-CUS-CART,Cart,customer,P0,/cart,API-CART-06,Apply coupon,POST,/cart/coupon,P0,exists,customer,Cart
F-CUS-CART,Cart,customer,P0,/cart,API-CART-07,Remove coupon,DELETE,/cart/coupon,P0,exists,customer,Cart
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-CART-08,Cart totals,GET,/cart/totals,P0,exists,customer,Cart
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-OFF-02,Validate offer code,POST,/offers/validate,P0,exists,none,Offers
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-CUS-04,List addresses,GET,/customers/me/addresses,P0,exists,customer,Customers
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-ORD-01,Place order,POST,/orders,P0,exists,customer (guest allowed),Orders / returns / fulfillment
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-PAY-01,Create payment session,POST,/payments/session,P0,exists,customer,Payments
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-PAY-02,Get payment session,GET,/payments/session/{sessionId},P0,exists,customer,Payments
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-PAY-03,Cancel payment session,POST,/payments/session/{sessionId}/cancel,P1,exists,customer,Payments
F-CUS-CHECKOUT,Checkout + payments,customer,P0,/checkout,API-PAY-04,Verify payment,POST,/payments/verify,P0,exists,customer,Payments
F-CUS-ORDER-SUCCESS,Order success,customer,P0,/order-success,API-ORD-03,Get order,GET,/orders/{orderId},P0,exists,customer,Orders / returns / fulfillment
F-CUS-ORDER-SUCCESS,Order success,customer,P0,/order-success,API-PAY-02,Get payment session,GET,/payments/session/{sessionId},P0,exists,customer,Payments
F-CUS-WISHLIST,Wishlist,customer,P0,/wishlist,API-WISH-01,Get wishlist,GET,/wishlist,P0,exists,customer,Wishlist
F-CUS-WISHLIST,Wishlist,customer,P0,/wishlist,API-WISH-02,Add wishlist,POST,/wishlist/{productId},P0,exists,customer,Wishlist
